car_id,data_compra,nome_cliente,genero,renda_anual,concessionaria,empresa,modelo,motor,transmissao,cor,preco,numero_concessionaria,estilo_carro,telefone,regiao_concessionaria,faixa_renda,faixa_preco
C_CND_000001,2022-01-02,Geraldine,M,13500.0,Buddy Storbeck's Diesel Service Inc,Ford,Expedition,Double Overhead Camshaft,Auto,BLACK,26000.0,06457-3834,SUV,8264678,MIDDLETOWN,Baixa,Médio
C_CND_000002,2022-01-02,Gia,M,1480000.0,C & M Motors Inc,Dodge,Durango,Double Overhead Camshaft,Auto,BLACK,19000.0,60504-7114,SUV,6848189,AURORA,Premium,Baixo
C_CND_000003,2022-01-02,Gianna,M,1035000.0,Capitol KIA,Cadillac,Eldorado,Overhead Camshaft,Manual,RED,31500.0,38701-8047,Passenger,7298798,GREENVILLE,Alta,Médio
C_CND_000004,2022-01-02,Giselle,M,13500.0,Chrysler of Tri-Cities,Toyota,Celica,Overhead Camshaft,Manual,PALE WHITE,14000.0,99301-3882,SUV,6257557,PASCO,Baixa,Baixo
C_CND_000005,2022-01-02,Grace,M,1465000.0,Chrysler Plymouth,Acura,TL,Double Overhead Camshaft,Auto,RED,24500.0,53546-9427,Hatchback,7081483,JANESVILLE,Premium,Médio
C_CND_000006,2022-01-02,Guadalupe,M,850000.0,Classic Chevy,Mitsubishi,Diamante,Overhead Camshaft,Manual,PALE WHITE,12000.0,85257-3102,Hatchback,7315216,SCOTTSDALE,Alta,Baixo
C_CND_000007,2022-01-02,Hailey,M,1600000.0,Clay Johnson Auto Sales,Toyota,Corolla,Overhead Camshaft,Manual,PALE WHITE,14000.0,78758-7841,Passenger,7727879,AUSTIN,Premium,Baixo
C_CND_000008,2022-01-02,Graham,M,13500.0,U-Haul CO,Mitsubishi,Galant,Double Overhead Camshaft,Auto,PALE WHITE,42000.0,78758-7841,Passenger,6206512,AUSTIN,Baixa,Alto
C_CND_000009,2022-01-02,Naomi,M,815000.0,Rabun Used Car Sales,Chevrolet,Malibu,Overhead Camshaft,Manual,PALE WHITE,82000.0,85257-3102,Hardtop,7194857,PASCO,Alta,Premium
C_CND_000010,2022-01-02,Grayson,F,13500.0,Rabun Used Car Sales,Ford,Escort,Double Overhead Camshaft,Auto,PALE WHITE,15000.0,85257-3102,Passenger,7836892,SCOTTSDALE,Baixa,Baixo
C_CND_000011,2022-01-02,Gregory,M,13500.0,Race Car Help,Acura,RL,Overhead Camshaft,Manual,PALE WHITE,31000.0,78758-7841,SUV,7995489,AUSTIN,Baixa,Médio
C_CND_000012,2022-01-02,Amar'E,M,13500.0,Race Car Help,Nissan,Pathfinder,Double Overhead Camshaft,Auto,PALE WHITE,46000.0,78758-7841,Hardtop,7288103,PASCO,Baixa,Alto
C_CND_000013,2022-01-02,Griffin,M,885000.0,Saab-Belle Dodge,Mercury,Grand Marquis,Double Overhead Camshaft,Auto,BLACK,9000.0,60504-7114,SUV,6842408,AURORA,Alta,Baixo
